path,product_title,price,size,color,SKU,Description,Category,thumbnail
Home/Clothing/Men/Bottoms/Shorts,Arcadio Gym Short,£20.00,"32, 33, 34, 36","Black, Blue, Red",MSH11,"The Arcadio Gym short is a basic-looking piece with a lot more than meets the eye: casual-yet-functional relaxed fit, comfortable waistband and adjustable drawstring. Everything you need, plus more.,• Royal blue cotton shorts.,• Built-in mesh brief. ,• 87% Spandex 13% Lycra.,• Adjustable drawstring.",Shorts,https://gopher1.extrkt.com/wp-content/uploads/2023/11/msh11-blue_main-600x744.jpg
Home/Clothing/Men/Bottoms/Shorts,Apollo Running Short,£32.50,"32, 33, 34, 36",Black,MSH02,"Fleet of foot or slow and steady, you’ll be in complete comfort with the Apollo Running Short. Lightweight polyester material lets you move with ease, and mesh side panels promise plenty of ventilation as you work up a sweat. The stretchy elastic waistband delivers a flexible fit.,• Black shorts with green accents.,• Side pockets. ,• 4″ inseam. ,• Machine wash/dry.",Shorts,https://gopher1.extrkt.com/wp-content/uploads/2023/11/msh02-black_main-600x744.jpg
Home/Clothing/Women/Bottoms/Shorts,Angel Light Running Short,£42.00,"28, 29, 30, 31, 32","Gray, Orange, Purple",WSH06,"The Angel Light Running Short offers comfort in an ultra-lightweight, breathable package. With fabric infused with all-natural Cocona® performance technology, it can whisk away sweat and block UV rays.,• Dark heather gray running shorts.,• Snug fit. ,• Elastic waistband. ,• Cocona® performance fabric. ,• Machine wash/dry.",Shorts,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh06-gray_main-600x744.jpg
Home/Clothing/Women/Tops/Bras & Tanks|Clothing/Promotions/Women Sale|Clothing/Collections/Performance Fabrics|Clothing,Antonia Racer Tank,£34.00,"XS, S, M, L, XL","Black, Purple, Yellow",WT08,"You won’t know what you like best about the Antonia Racer Tank: soft, stretchy, lightweight fabric? Super-cute colorblocked details? Whatever it is, this piece is sure to quickly move to the top of your workout rotation.,• Machine wash.,• Line dry.",Performance Fabrics|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wt08-black_main-600x744.jpg
Home/Clothing/Men/Tops/Hoodies & Sweatshirts,Ajax Full-Zip Sweatshirt,£69.00,"XS, S, M, L, XL","Blue, Green, Red",MH12,"The Ajax Full-Zip Sweatshirt makes the optimal layering or outer piece for archers, golfers, hikers and virtually any other sportsmen. Not only does it have top-notch moisture-wicking abilities, but the tight-weave fabric also prevents pilling from repeated wash-and-wear cycles.,• Mint striped full zip hoodie.,• 100% bonded polyester fleece.,• Pouch pocket.,• Rib cuffs and hem. ,• Machine washable.",Hoodies & Sweatshirts,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh12-green_main-600x744.jpg
Home/Clothing/Women/Bottoms/Shorts|Clothing/Collections/Eco Friendly|Clothing,Ana Running Short,£40.00,"28, 29, 30, 31, 32","Black, Orange, White",WSH10,"Time to lace up your kicks and beat that personal best in the Ana Running Short. It’s designed with breathable mesh side panels to help keep you cool while you master the miles.,• Black/pink two-layer shorts.,• Low-rise elastic waistband.,• Relaxed fit. ,• Ultra-lightweight fabric. ,• Internal drawstring. ,• Machine wash/dry.",Eco Friendly|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh10-black_main-600x744.jpg
Home/Clothing/Men/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Erin Recommends|Clothing,Aether Gym Pant,£74.00,"32, 33, 34, 36","Blue, Brown, Green",MP11,"The Aether Gym Pant is built for the studio, but adapts perfectly well to outdoor and gym environs too. With lightweight stretch fabric and water-repellent exterior, the Aether is ready for all comers.,• Pants/shorts convertible.,• Lightweight moisture wicking. ,• Water repellent.,• Belted waist.",Erin Recommends|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mp11-brown_main-600x744.jpg
Home/Gear/Watches,Aim Analog Watch,£45.00,,,24-MG04,"Stay light-years ahead of the competition with our Aim Analog Watch. The flexible, rubberized strap is contoured to conform to the shape of your wrist for a comfortable all-day fit. The face features three illuminated hands, a digital read-out of the current time, and stopwatch functions.",Watches,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mg04-bk-0-600x744.jpg
Home/Gear/Fitness Equipment,Affirm Water Bottle,£7.00,,,24-UG06,"You’ll stay hydrated with ease with the Affirm Water Bottle by your side or in hand. Measurements on the outside help you keep track of how much you’re drinking, while the screw-top lid prevents spills. A metal carabiner clip allows you to attach it to the outside of a backpack or bag for easy access.",Fitness Equipment,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ug06-lb-0-600x744.jpg
Home/Clothing/Men/Tops/Tees,Aero Daily Fitness Tee,£24.00,"XS, S, M, L, XL","Black, Brown, Yellow",MS01,"Need an everyday action tee that helps keep you dry? The Aero Daily Fitness Tee is made of 100% polyester wicking knit that funnels moisture away from your skin. Don’t be fooled by its classic style; this tee hides premium performance technology beneath its unassuming look.,Relaxed fit. ,Short-Sleeve. ,Machine wash/dry.",Tees,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms01-blue_main-600x744.jpg
Home/Clothing/Women/Tops/Jackets|Clothing/Promotions/Women Sale|Clothing/Collections/Erin Recommends|Clothing,Adrienne Trek Jacket,£57.00,"XS, S, M, L, XL","Gray, Orange, Purple",WJ08,"You’re ready for a cross-country jog or a coffee on the patio in the Adrienne Trek Jacket. Its style is unique with stand collar and drawstrings, and it fits like a jacket should.,• gray 1/4 zip pullover.,• Comfortable, relaxed fit.,• Front zip for venting.,• Spacious, kangaroo pockets.,• 27″ body length.,• 95% Organic Cotton / 5% Spandex.",Erin Recommends|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wj08-gray_main-600x744.jpg
Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Performance Fabrics|Clothing,Aeon Capri,£48.00,"28, 29","Black, Blue, Orange",WP07,"Reach for the stars and beyond in these Aeon Capri pant. With a soft, comfortable feel and moisture wicking fabric, these duo-tone leggings are easy to wear — and wear attractively.,• Black capris with teal accents.,• Thick, 3″ flattering waistband.,• Media pocket on inner waistband.,• Dry wick finish for ultimate comfort and dryness.",Performance Fabrics|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp07-black_main-600x744.jpg
Home/Clothing/Men/Tops/Hoodies & Sweatshirts,Abominable Hoodie,£69.00,"XS, S, M, L, XL","Blue, Green, Red",MH09,"It took CoolTech™ weather apparel know-how and lots of wind-resistant fabric to get the Abominable Hoodie just right. It’s aggressively warm when it needs to be, while maintaining your comfort in milder climes.,• Blue heather hoodie.,• Relaxed fit. ,• Moisture-wicking. ,• Machine wash/dry.",Hoodies & Sweatshirts,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh09-blue_main-600x744.jpg
Home/Clothing/Men/Tops/Tanks|Clothing/Collections/Eco Friendly|Clothing,Argus All-Weather Tank,£22.00,"XS, S, M, L, XL",Gray,MT07,"The Argus All-Weather Tank is sure to become your favorite base layer or go-to cover for hot outdoor workouts. With its subtle reflective safely trim, you can even wear it jogging on urban evenings.,• Dark gray polyester spandex tank.,• Reflective details for nighttime visibility. ,• Stash pocket.,• Anti-chafe flatlock seams.",Eco Friendly|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mt07-gray_main-600x744.jpg
Home/Clothing/Women/Tops/Hoodies & Sweatshirts|Clothing/Collections/Eco Friendly|Clothing,Ariel Roll Sleeve Sweatshirt,£39.00,"XS, S, M, L, XL","Green, Purple, Red",WH09,"Soft, sleek and subtle, the Ariel Roll Sleeve Sweatshirt is a nuanced fitness garment for all occasions. It works equally well as a workout piece or in a casual social setting.,• Purple two-tone lightweight hoodie. ,• 100% cotton.,• Adjustable roll sleeves for Long-Sleeve or 3/4 sleeve.,• Casual, comfy piece for running errands or weekend activities.",Eco Friendly|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh09-purple_main-600x744.jpg
Home/Clothing/Women/Bottoms/Shorts,Artemis Running Short,£45.00,"28, 29, 30, 31, 32","Black, Green, Orange",WSH04,"Discover smooth jogging and chic comfort each time you slip into the Artemis Running Short. A unique maritime-inspired design and oolor theme features a stretchy drawstring waist.,• Black rouched shorts with mint waist. ,• Soft, lightweight construction.,• LumaTech™ wicking technology.,• Semi-fitted.",Shorts,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh04-black_main-600x744.jpg
Home/Clothing/Women/Tops/Bras & Tanks|Clothing/Promotions/Women Sale|Clothing/Collections/Erin Recommends|Clothing,Breathe-Easy Tank,£34.00,"XS, S, M, L, XL","Purple, White, Yellow",WT09,"The Breathe Easy Tank is so soft, lightweight, and comfortable, you won’t even know it’s there — until its high-tech Cocona® fabric starts wicking sweat away from your body to help you stay dry and focused. Layer it over your favorite sports bra and get moving.,• Machine wash/dry.,• Cocona® fabric.",Erin Recommends|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wt09-white_main-600x744.jpg
Home/Gear/Watches,Bolo Sport Watch,£49.00,,,24-WG01,"The Bolo Sport Watch is sleek, sporty and sized just right to fit your smaller wrist. Easy to read and set up, it features a large digital face and button-activated alarm and stopwatch. The soft-touch resin band promises no-pinch comfort, while the water-resistant design lets you take your workout to the lap pool.",Watches,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wg01-bk-0-600x744.jpg
Home/Clothing/Men/Bottoms/Pants|Clothing/Promotions/Pants|Clothing,Caesar Warm-Up Pant,£35.00,"32, 33, 34, 36","Black, Gray, Purple",MP01,"Command your workout and keep your muscles limber in the Caesar Warm-Up Pant. Engineered CoolTech™ fabric wicks away moisture so you don’t have to worry about sweat and discomfort. The drawstring-adjustable waist helps make sure your pants fit properly.,• Light gray heather knit straight leg pants.,• Relaxed fit. ,• Inseam: 32″. ,• Machine wash/dry.,• CoolTech™ wicking fabric.",Pants|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mp01-gray_main-600x744.jpg
Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing,Carina Basic Capri,£51.00,"28, 29","Black, Blue, Purple",WP09,"Perfect as workout pants or “accessory,” the Carina Basic Capri is comfy as it is practical — try it under skirts or shorts.,• Black capris with rouching detail.,• 93% cotton, 7% spandex.,• Elasticized waistband.,• Reinforced seams with exposed topstitching.,• Soft, medium-weight jersey with added stretch.",Pants|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp09-black_main-600x744.jpg
